group_id,Catalog,RA,Dec,Redshift,RA_xray_peak,Dec_xray_peak,cutout_arcsec
65,CW-HCG,150.2611777,1.918038983,3.743,,,120
150,CW-HCG,149.934471,2.544000487,3.472,,,120
375,CW-HCG,150.0826307,2.415798044,3.123,,,120
520,CW-HCG,150.1795707,2.075909546,3.0090000000000003,,,120
1018,CW-HCG,150.0868399,2.370878847,2.538,,,120
1070,CW-HCG,150.2385882,2.335949531,2.504,,,120
1163,CW-HCG,150.1050682,2.416419361,2.471,,,120
1199,CW-HCG,150.2482992,2.331919611,2.469,,,120
1201,CW-HCG,150.071522,2.41415537,2.471,,,120
1203,CW-HCG,150.0764779,2.38063121,2.468,,,120
1206,CW-HCG,150.101524,2.376688797,2.475,,,120
1237,CW-HCG,150.090414,2.39885915,2.472,,,120
1653,CW-HCG,150.1317192,1.917060413,2.208,,,120
1718,CW-HCG,150.0542989,2.233331427,2.176,,,120
1754,CW-HCG,149.9991319,2.46433419,2.16,149.99885676704164,2.4638789568895123,120
14240,CW-HCG,150.4012453,2.373608219,2.911,,,120
14410,CW-HCG,150.0550285,2.362152224,2.518,,,120
14579,CW-HCG,150.3663146,2.436204482,2.304,,,120
14664,CW-HCG,149.9539546,2.651015658,2.17,,,120
14665,CW-HCG,150.0250405,2.218806733,2.1575,,,120
14785,CW-HCG,150.4505208,2.443650946,2.002,,,120
21490,CW-HCG,150.2042298,2.060657993,3.743,,,120
26715,CW-HCG,150.0480977,2.638802828,3.0549999999999997,,,120
35078,CW-HCG,150.4195468,2.423910507,2.468,150.42163689737149,2.423646593763084,120
35919,CW-HCG,150.2116862,2.27563887,2.4555,,,120
42345,CW-HCG,149.8447229,2.006548181,2.345,,,120
44487,CW-HCG,150.2733461,2.415261433,2.462,,,120
47976,CW-HCG,150.4307478,2.306520561,2.46,,,120
55439,CW-HCG,149.8789991,2.157763619,2.353,,,120
57989,CW-HCG,150.2689904,1.788188312,2.482,,,120
59060,CW-HCG,150.2431626,1.791864205,2.354,,,120
63709,CW-HCG,149.9107781,2.531198835,2.44,149.9200708955159,2.5236670479011605,120
70799,CW-HCG,149.9850734,1.91022775,2.3040000000000003,,,120
